Date,Reference,Amount,Description
01-09-2024,OP-BALANCE,500000,Opening Balance
02-09-2024,CHQ1001,5000,Rent Payment
02-09-2024,DEP1,25000,Sales Revenue
03-09-2024,CHQ1002,3500,Office Supplies
04-09-2024,DEP2,15000,Interest Income
05-09-2024,CHQ1003,7200,Utilities
05-09-2024,TRF1,10000,Intercompany Transfer
06-09-2024,CHQ1004,2100,Postage
07-09-2024,DEP3,35000,Customer Deposit
08-09-2024,CHQ1005,4500,Insurance
08-09-2024,CHQ1006,2250,Maintenance
09-09-2024,DEP4,12000,Refund Received
10-09-2024,CHQ1007,8900,Salary Advance
11-09-2024,TRF2,20000,Loan Payment
12-09-2024,CHQ1008,3300,Travel Expenses
13-09-2024,DEP5,18000,Dividend Income
14-09-2024,CHQ1009,5500,Equipment
15-09-2024,CHQ1010,2800,Stationery
16-09-2024,DEP6,22000,Contract Revenue
17-09-2024,CHQ1011,6100,Vendor Payment
18-09-2024,TRF3,15000,Advance Transfer
19-09-2024,CHQ1012,3200,Professional Fees
20-09-2024,DEP7,28000,Subscription Income
21-09-2024,CHQ1013,4400,Repairs
22-09-2024,CHQ1014,7600,Software License
23-09-2024,DEP8,30000,Project Revenue
24-09-2024,CHQ1015,5200,Consulting
25-09-2024,TRF4,12000,Emergency Fund
26-09-2024,CHQ1016,3600,Cleaning
27-09-2024,DEP9,25000,Service Revenue
28-09-2024,CHQ1017,8800,Audit Fees
29-09-2024,CHQ1018,4100,Courier
30-09-2024,DEP10,32000,Year-End Collection
30-09-2024,CHQ1019,5500,Final Payment
01-10-2024,CHQ1020,2900,Miscellaneous
02-10-2024,TRF5,18000,Asset Transfer
03-10-2024,DEP11,40000,Bulk Order
04-10-2024,CHQ1021,6200,Vendor Settlement
05-10-2024,CHQ1022,3800,Courier Charges
06-10-2024,DEP12,27000,Monthly Revenue
07-10-2024,CHQ1023,7400,Software Update
08-10-2024,CHQ1024,4300,Support Services
09-10-2024,TRF6,16000,Investment Transfer
10-10-2024,DEP13,21000,Rental Income
11-10-2024,CHQ1025,5100,Property Tax
12-10-2024,CHQ1026,2600,Bank Charges
13-10-2024,DEP14,29000,Receivable Collection
14-10-2024,CHQ1027,8200,Debt Settlement
15-10-2024,CHQ1028,3900,Utility Bills
16-10-2024,DEP15,35000,Corporate Gift
17-10-2024,CHQ1029,6400,Commission
18-10-2024,TRF7,14000,Employee Bonus
19-10-2024,CHQ1030,4600,Food Expenses
20-10-2024,DEP16,26000,Annual Revenue
21-09-2024,CHQ1031,5000,GL Only - Accrual
22-09-2024,CHQ1032,3200,GL Only - Reversal
24-09-2024,CHQ1033,4100,GL Only - Adjustment
25-09-2024,DEP17,18500,GL Only - Income
26-09-2024,CHQ1034,2750,GL Only - Reserve
03-10-2024,CHQ1035,6900,GL Only - Deferred
05-10-2024,DEP18,14200,GL Only - Intra
08-10-2024,CHQ1036,3450,GL Only - Clearing
10-10-2024,CHQ1037,7100,GL Only - Provision
12-10-2024,DEP19,9800,GL Only - Recovery
02-09-2024,CHQ1001,5000,Duplicate - Rent
15-09-2024,CHQ1100,5800,Amount Mismatch
03-09-2024,CHQ1002,3500,Timing - Early
28-09-2024,CHQ1017,8800,Timing - Late
