Date,Reference,Amount,Balance
01-09-2024,OP-BALANCE,500000,500000
02-09-2024,CHQ1001,5000,495000
02-09-2024,DEP1,25000,520000
03-09-2024,CHQ1002,3500,516500
04-09-2024,DEP2,15000,531500
05-09-2024,CHQ1003,7200,524300
05-09-2024,TRF1,10000,514300
06-09-2024,CHQ1004,2100,512200
07-09-2024,DEP3,35000,547200
08-09-2024,CHQ1005,4500,542700
08-09-2024,CHQ1006,2250,540450
09-09-2024,DEP4,12000,552450
10-09-2024,CHQ1007,8900,543550
11-09-2024,TRF2,20000,523550
12-09-2024,CHQ1008,3300,520250
13-09-2024,DEP5,18000,538250
14-09-2024,CHQ1009,5500,532750
15-09-2024,CHQ1010,2800,529950
16-09-2024,DEP6,22000,551950
17-09-2024,CHQ1011,6100,545850
18-09-2024,TRF3,15000,530850
19-09-2024,CHQ1012,3200,527650
20-09-2024,DEP7,28000,555650
21-09-2024,CHQ1013,4400,551250
22-09-2024,CHQ1014,7600,543650
23-09-2024,DEP8,30000,573650
24-09-2024,CHQ1015,5200,568450
25-09-2024,TRF4,12000,556450
26-09-2024,CHQ1016,3600,552850
27-09-2024,DEP9,25000,577850
28-09-2024,CHQ1017,8800,569050
29-09-2024,CHQ1018,4100,564950
30-09-2024,DEP10,32000,596950
30-09-2024,CHQ1019,5500,591450
01-10-2024,CHQ1020,2900,588550
02-10-2024,TRF5,18000,570550
03-10-2024,DEP11,40000,610550
04-10-2024,CHQ1021,6200,604350
05-10-2024,CHQ1022,3800,600550
06-10-2024,DEP12,27000,627550
07-10-2024,CHQ1023,7400,620150
08-10-2024,CHQ1024,4300,615850
09-10-2024,TRF6,16000,599850
10-10-2024,DEP13,21000,620850
11-10-2024,CHQ1025,5100,615750
12-10-2024,CHQ1026,2600,613150
13-10-2024,DEP14,29000,642150
14-10-2024,CHQ1027,8200,633950
15-10-2024,CHQ1028,3900,630050
16-10-2024,DEP15,35000,665050
17-10-2024,CHQ1029,6400,658650
18-10-2024,TRF7,14000,644650
19-10-2024,CHQ1030,4600,640050
20-10-2024,DEP16,26000,666050
